Data,N,Pearson Train,Spearman Train,Pearson Test,Spearman Test,,,,
jirasoftware,5,0.897423948,0.977812098,0.383038463,0.362207262,,,,
jirasoftware,5,0.890815697,0.978974167,0.371937602,0.35829392,,,,
jirasoftware,5,0.889818595,0.978947676,0.35527569,0.311848729,,,,
jirasoftware,5,0.887122995,0.979369036,0.399513188,0.305000381,,,,
jirasoftware,5,0.883771273,0.977896346,0.425461422,0.375629338,,,,
jirasoftware,5,0.87307437,0.978796197,0.392053859,0.447133648,,,,
jirasoftware,5,0.840267083,0.978283414,0.444313529,0.431703409,,,,
jirasoftware,5,0.861844943,0.979116552,0.390535979,0.349334426,,,,
jirasoftware,5,0.895860914,0.976316471,0.347906877,0.344065146,,,,
jirasoftware,5,0.869539473,0.977364059,0.390476463,0.443992676,,,,
jirasoftware,5,0.882238391,0.978185123,0.399397322,0.483606682,,,,
jirasoftware,5,0.861555358,0.977055282,0.423294438,0.451661099,,,,
jirasoftware,5,0.883522603,0.976857157,0.453565824,0.44224801,,,,
jirasoftware,5,0.903142933,0.978951717,0.46790722,0.48447391,,,,
jirasoftware,5,0.870159763,0.977114345,0.393030762,0.361915477,,,,
jirasoftware,5,0.872401793,0.976764034,0.445973749,0.417217178,,,,
jirasoftware,5,0.878371268,0.978642532,0.296187793,0.3516687,,,,
jirasoftware,5,0.889615686,0.97842795,0.39440714,0.400808604,,,,
jirasoftware,5,0.887982976,0.977783907,0.424254055,0.344906171,,,,
jirasoftware,10,0.873063311,0.979912638,0.387635739,0.408223357,0.884267379,0.979898333,0.37358797,0.374044057
jirasoftware,10,0.901245145,0.979858189,0.318643206,0.344751697,,,,
jirasoftware,10,0.8838872,0.979893322,0.348918516,0.356663361,,,,
jirasoftware,10,0.882912666,0.979989625,0.422947238,0.396243039,,,,
jirasoftware,10,0.885671485,0.98000011,0.382700377,0.348476237,,,,
jirasoftware,10,0.878779187,0.980010464,0.358493893,0.343492981,,,,
jirasoftware,10,0.87081769,0.979846688,0.420435583,0.46343924,,,,
jirasoftware,10,0.886542336,0.979847516,0.40248251,0.425936379,,,,
jirasoftware,10,0.890688961,0.979870419,0.39875077,0.381465023,,,,
jirasoftware,10,0.89070045,0.979661841,0.352092449,0.330179647,,,,
jirasoftware,10,0.883071345,0.979999978,0.407731547,0.350038141,,,,
jirasoftware,10,0.882502488,0.979901489,0.45930696,0.428778376,,,,
jirasoftware,10,0.888596483,0.979979967,0.321261371,0.365571363,,,,
jirasoftware,10,0.893479903,0.979947549,0.368752675,0.402490655,,,,
jirasoftware,10,0.878865906,0.979670363,0.36886835,0.381756808,,,,
jirasoftware,10,0.879446322,0.979940508,0.478780095,0.42377019,,,,
jirasoftware,10,0.86970248,0.979896081,0.23722202,0.307060035,,,,
jirasoftware,10,0.876182959,0.979967063,0.315519453,0.285205759,,,,
jirasoftware,10,0.896494428,0.979921468,0.396860709,0.37468533,,,,
jirasoftware,10,0.892696828,0.979851379,0.32435593,0.36265352,,,,
